Metadata_broad_sample,ap
BRD-K13533483-001-16-2,0.9884169884169884
BRD-K14560436-001-01-4,0.9884169884169884
BRD-K14681867-001-01-6,0.5074646074646075
BRD-K15179513-001-04-2,0.9884169884169884
BRD-K15502390-001-20-9,0.28950825825825827
BRD-K15819326-001-01-6,0.9884169884169884
BRD-K16444452-001-09-1,0.6321669884169884
BRD-K16472653-001-01-6,0.967583655083655
BRD-K16542329-001-16-8,0.7273058773058774
BRD-K16730910-001-07-3,0.9884169884169884
BRD-K16761703-001-03-8,0.9884169884169884
BRD-K16803204-001-01-6,0.9884169884169884
BRD-K16810791-001-01-0,0.9884169884169884
BRD-K17849083-001-32-9,0.7625572000572001
BRD-K18131774-001-18-4,0.44420286920286917
BRD-K18289362-001-02-2,0.3727146110140296
BRD-K18895904-001-16-1,0.647123097123097
BRD-K19227686-001-18-6,0.07818443780730495
BRD-K19333160-001-01-3,0.9884169884169884
BRD-K19477839-001-07-6,0.5304387687200188
BRD-K19975102-001-01-2,0.9884169884169884
BRD-K20093108-001-02-3,0.22897647522647524
BRD-K20897876-001-11-8,0.06170651091018724
BRD-K20986415-001-02-6,0.9884169884169884
BRD-K21528677-001-04-4,0.9884169884169884
BRD-K21728777-001-02-3,0.9884169884169884
BRD-K22134346-001-22-3,0.817583655083655
BRD-K22149900-001-06-2,0.9884169884169884
BRD-K22482860-001-20-6,0.3077133749008749
BRD-K23363278-001-02-1,0.9884169884169882
BRD-K23913458-001-20-7,0.14129329286530098
BRD-K24282351-001-01-4,0.3203968563875685
BRD-K24283677-001-01-9,0.20878016534123717
BRD-K24616672-003-20-1,0.5231271856271856
BRD-K24696047-001-02-3,0.9884169884169884
BRD-K25243230-001-01-2,0.1418723286833189
BRD-K25244359-066-02-6,0.9884169884169884
BRD-K25311561-001-10-7,0.9884169884169884
BRD-K25412176-001-01-9,0.9884169884169882
BRD-K26439554-001-01-3,0.3095479407979408
BRD-K26514105-001-01-7,0.0768009073263253
BRD-K26521938-001-07-2,0.3412343878284663
BRD-K26970495-001-02-7,0.9884169884169884
BRD-K26989966-001-04-3,0.9884169884169884
BRD-K27539181-001-08-5,0.8648058773058773
BRD-K28132190-001-02-0,0.9884169884169884
BRD-K29151923-001-01-5,0.10960193447080102
BRD-K29322660-001-01-9,0.4455656812274459
BRD-K29530284-001-06-2,0.2772183682804397
BRD-K29791386-001-01-8,0.12283589737529181
BRD-K29895144-001-01-0,0.9884169884169884
BRD-K30177383-001-01-0,0.12194162599730389
BRD-K31170746-001-01-6,0.39813921063921065
BRD-K31476763-001-01-5,0.4791640885390886
BRD-K32292990-001-03-6,0.5008538571038571
BRD-K32730239-001-01-0,0.9884169884169884
BRD-K32821942-001-22-1,0.9342503217503217
BRD-K33882852-003-02-8,0.9582157412514554
BRD-K34581968-001-05-3,0.9884169884169884
BRD-K35498378-001-06-1,0.43715436215436215
BRD-K36016295-001-05-2,0.9884169884169884
BRD-K36055864-001-20-0,0.9884169884169884
BRD-K36461289-001-05-8,0.4130525244495833
BRD-K36574127-001-01-3,0.5599447661947662
BRD-K36660044-001-24-2,0.1821261387437858
BRD-K36740062-001-06-6,0.9884169884169884
BRD-K36927236-001-36-7,0.610428772928773
BRD-K37355418-236-01-6,0.6493144243144243
BRD-K37385792-003-02-1,0.9884169884169884
BRD-K37602296-001-01-6,0.5446847946847948
BRD-K37764012-001-03-3,0.26248535869172396
BRD-K37864785-001-01-0,0.8738336550836551
BRD-K38272302-001-02-7,0.9884169884169884
BRD-K38512030-001-01-7,0.25237292981858195
BRD-K38775274-001-22-1,0.9884169884169884
BRD-K38852836-001-04-9,0.9884169884169882
BRD-K40109029-001-02-9,0.9884169884169884
BRD-K41599323-001-02-3,0.9884169884169882
BRD-K42191735-001-08-7,0.9884169884169882
BRD-K42352790-001-05-3,0.32480509921686396
BRD-K43236057-001-07-1,0.9884169884169884
BRD-K43330982-001-02-3,0.967583655083655
BRD-K43570081-001-02-4,0.9884169884169884
BRD-K44067360-001-29-5,0.5757185757185758
BRD-K44227013-001-08-0,0.9884169884169884
BRD-K44432556-001-05-5,0.5215366465366466
BRD-K44771174-066-01-0,0.9884169884169884
BRD-K45293975-001-02-0,0.9884169884169884
BRD-K45746021-003-01-9,0.9884169884169884
BRD-K46625559-001-01-8,0.9884169884169884
BRD-K47049295-300-03-1,0.9884169884169884
BRD-K47557313-001-02-7,0.9884169884169884
BRD-K47598052-001-14-1,0.9884169884169884
BRD-K47738867-001-01-5,0.378796532047306
BRD-K47978074-001-03-2,0.44893737081237084
